test,param,addr,d4,us,cycles,val,cap,passed
delay_via,preamble,186,3,5,10391,42,True,True
delay_via,preamble,188,3,5,10397,42,True,True
delay_via,preamble,190,3,5,10403,42,True,True
delay_via,preamble,192,3,5,10409,42,True,True
delay_via,preamble,194,3,5,10415,42,True,True
delay_via,preamble,196,3,5,10421,42,True,True
delay_via,preamble,198,3,5,10427,42,True,True
delay_ddra2,ddra=2,60,3,1,10005,42,True,True
delay_ddra2,ddra=2,64,3,1,10017,42,True,True
delay_ddra2,ddra=2,68,3,1,10029,42,True,True
delay_ddra2,ddra=2,72,3,1,10041,42,True,True
delay_ddra2,ddra=2,76,3,1,10053,42,True,True
delay_ddra2,ddra=2,80,3,1,10065,42,True,True
delay_ddra2,ddra=2,84,3,1,10077,42,True,True
delay_ddra2,ddra=2,88,3,1,10089,42,True,True
delay_ddra2,ddra=2,92,3,1,10101,42,True,True
delay_ddra2,ddra=2,96,3,1,10113,42,True,True
delay_ddra2,ddra=2,100,3,1,10125,42,True,True
delay_ddra2,ddra=2,104,3,1,10137,42,True,True
delay_ddra2,ddra=2,108,3,1,10149,42,True,True
delay_ddra2,ddra=2,112,3,1,10161,42,True,True
delay_ddra2,ddra=2,116,3,1,10173,42,True,True
delay_ddra2,ddra=2,120,3,1,10185,42,True,True
delay_ddra2,ddra=2,124,3,1,10197,42,True,True
delay_ddra2,ddra=2,128,3,1,10209,42,True,True
delay_ddra2,ddra=2,132,3,1,10221,42,True,True
delay_ddra2,ddra=2,136,3,1,10233,42,True,True
delay_ddra2,ddra=2,140,3,1,10245,42,True,True
delay_ddra2,ddra=2,144,3,1,10257,42,True,True
delay_ddra2,ddra=2,148,3,1,10269,42,True,True
delay_ddra2,ddra=2,152,3,1,10281,42,True,True
delay_ddra2,ddra=2,156,3,1,10293,42,True,True
delay_ddra2,ddra=2,160,3,1,10305,42,True,True
delay_ddra2,ddra=2,164,3,1,10317,42,True,True
delay_ddra2,ddra=2,168,3,1,10329,42,True,True
delay_ddra2,ddra=2,172,3,1,10341,42,True,True
delay_ddra2,ddra=2,176,3,1,10353,42,True,True
delay_ddra2,ddra=2,180,3,1,10365,42,True,True
delay_ddra2,ddra=2,184,3,1,10377,42,True,True
delay_ddra2,ddra=2,188,3,1,10389,42,True,True
delay_ddra2,ddra=2,192,3,1,10401,42,True,True
delay_ddra2,ddra=2,196,3,1,10413,42,True,True
delay_ddra2,ddra=2,60,3,5,10005,42,True,True
delay_ddra2,ddra=2,64,3,5,10017,42,True,True
delay_ddra2,ddra=2,68,3,5,10029,42,True,True
delay_ddra2,ddra=2,72,3,5,10041,42,True,True
delay_ddra2,ddra=2,76,3,5,10053,42,True,True
delay_ddra2,ddra=2,80,3,5,10065,42,True,True
delay_ddra2,ddra=2,84,3,5,10077,42,True,True
delay_ddra2,ddra=2,88,3,5,10089,42,True,True
delay_ddra2,ddra=2,92,3,5,10101,42,True,True
delay_ddra2,ddra=2,96,3,5,10113,42,True,True
delay_ddra2,ddra=2,100,3,5,10125,42,True,True
delay_ddra2,ddra=2,104,3,5,10137,42,True,True
delay_ddra2,ddra=2,108,3,5,10149,42,True,True
delay_ddra2,ddra=2,112,3,5,10161,42,True,True
delay_ddra2,ddra=2,116,3,5,10173,42,True,True
delay_ddra2,ddra=2,120,3,5,10185,42,True,True
delay_ddra2,ddra=2,124,3,5,10197,42,True,True
delay_ddra2,ddra=2,128,3,5,10209,42,True,True
delay_ddra2,ddra=2,132,3,5,10221,42,True,True
delay_ddra2,ddra=2,136,3,5,10233,42,True,True
delay_ddra2,ddra=2,140,3,5,10245,42,True,True
delay_ddra2,ddra=2,144,3,5,10257,42,True,True
delay_ddra2,ddra=2,148,3,5,10269,42,True,True
delay_ddra2,ddra=2,152,3,5,10281,42,True,True
delay_ddra2,ddra=2,156,3,5,10293,42,True,True
delay_ddra2,ddra=2,160,3,5,10305,42,True,True
delay_ddra2,ddra=2,164,3,5,10317,42,True,True
delay_ddra2,ddra=2,168,3,5,10329,42,True,True
delay_ddra2,ddra=2,172,3,5,10341,42,True,True
delay_ddra2,ddra=2,176,3,5,10353,42,True,True
delay_ddra2,ddra=2,180,3,5,10365,42,True,True
delay_ddra2,ddra=2,184,3,5,10377,42,True,True
delay_ddra2,ddra=2,188,3,5,10389,42,True,True
delay_ddra2,ddra=2,192,3,5,10401,42,True,True
delay_ddra2,ddra=2,196,3,5,10413,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=51,0,0,1,418,42,True,True
ldsp,offset=49,0,0,1,402,42,True,True
ldsp,offset=33,0,0,1,274,42,True,True
ldsp,offset=17,0,0,1,146,42,True,True
